ID:
	char_365_aprl
	림 빌리턴에서는 회사에서 감염자에게 보조금을 준다고 들었는데, 실제로 받는 돈은 너무 적었고 일도 줄어들어서 말이야…… 로도스 아일랜드 광고를 보고 시험 삼아 응모하길 정말 잘했지 뭐야. 여기선 사람 취급받는다는 느낌이 들거든.

	感染者になってから、感染者のくせにおしゃれしてどうするんだとか、感染者風情が何で音楽を聴くんだとか、たまに言われるけど……そういう人にはいつも同じ答えを返すようにしてる。「好きだから」ってね。
	After I got infected, people started asking me like 'what's an Infected wearing such bright colors for' and 'what's an Infected listening to music for'... I always just tell them: 'Because I wanna.'
	감염자가 되고 나선, 감염자인 주제에 꾸며서 어쩔 거냐, 감염자 따위가 왜 음악을 듣냐, 가끔 이런 얘기를 듣지만…… 그런 사람에게는 항상 같은 대답을 하고 있어. '좋아하니까'라고 말이야.

	レム・ビリトンでは元々ハンターをやってたんだ。都市周囲の獣を駆除したり、会社の採掘隊の警護をしたりね。でも鉱石病になってクビにされて、それからは狩りをしてなんとか生きながらえてたんだ。あの頃は本当にキツかったよ……。
	Back in Rim Billiton, I was a professional hunter. I had to keep animals away from the city and sometimes escort company people. But after I got Oripathy, I lost my job and had to hunt on my own for a living. It was real rough...
	림 빌리턴에서는 원래 사냥꾼이었어. 도시 주변에 있는 야수를 처치하거나, 회사의 채굴대 경호를 맡거나 했었지. 하지만 광석병에 걸려서 잘리고 나선, 사냥을 하면서 어떻게든 살아왔어. 그때는 정말 힘들었는데……

	あたしの両親は小さい頃に鉱山事故で死んじゃって、あたしは会社からの補助金で生活してたの。だから会社にはずっと感謝してたし、感染したのも自分の不注意のせいだって思ってたけど……本当はそうじゃないんだよね。そうでしょ、ドクター？
	My parents died in a mining accident when I was little, and I grew up on a company pension, so I was always real grateful to the company. I figured getting Oripathy was my own dumb fault... But that's not really what happened, is it, Doctor?
	내 부모님은 어릴 적 광산 사고로 돌아가셔서, 나는 회사에서 보조금을 받아서 생활했었어. 그래서 회사에는 항상 감사한 마음이 있었고 감염된 것도 내가 부주의했기 때문이라고 생각했지만…… 사실은 그게 아니었던 거지? 그렇지, 박사?

	感染者のために何ができるか……そんなことは考えたこともなかった、自分が生きていくだけで精一杯だったからね。でもロドスに来てからは、やってみようって思えるようになったんだ。自分のためだけじゃなく、同じように辛い思いをしてきた人たちに何かしてあげられたらってね。
	Doing something for the Infected... I never thought about it before. I mean, it's hard enough to keep yourself alive. But after coming to Rhodes Island, I decided I wanted to try to do something not just for myself, but for everyone who suffers like me.
	감염자를 위해 뭘 할 수 있을까…… 그런 건 생각한 적도 없었어, 내가 살아가는 것만으로도 버거웠으니까. 그래도 로도스 아일랜드에 온 후로는 한번 해보자고 생각하게 됐어. 나만을 위해서가 아니라, 같은 아픔을 가진 사람들에 뭔가 해줄 수 있다면 좋겠다고 말이야.

	ドクター、お昼寝するなら、あたしの耳栓貸してあげようか。
	Doctor, if you wanna nap, I can lend you my earplugs.
	박사, 낮잠 잘 거면 내 귀마개 빌려줄까?

	ロドスは設備も整ってるし待遇もこんなにいいんだね……あ、ごめんねドクター、ちょっとびっくりしただけ。あたしのコードネームは「エイプリル」にするね。うん、あたしの一番好きな曲の名前から取ったんだ～。
	Rhodes Island has such great stuff, and they treat you so good... Oh, sorry, Doctor, I'm just a little shocked. My codename is April. Yeah, it's the name of my favorite song.
	로도스 아일랜드는 설비도 갖춰져 있고, 대우도 이렇게 좋구나! 아, 미안해, 박사. 조금 놀랐을 뿐이야. 내 코드네임은 '에이프릴'로 할게. 응, 내가 가장 좋아하는 곡명에서 따온 거야~

	プロってすごいね……
	The pros are amazing...
	프로는 대단하네……

	え？昇給？……いや、不満なんてないよ、というかむしろ大満足だよ。ただ、人から仕事を認められたのは久しぶりだなって思っただけ。
	Huh? A raise...? Oh, it's not that I'm disappointed, I'm thrilled. It's just been a long, long time since anyone told me I was doing a good job.
	어? 급여 인상? ……아니, 불만은 없어, 오히려 대만족인걸. 단지 다른 사람한테 일로 인정받은 건 오랜만이라고 생각했을 뿐이야.

	レム・ビリトンでは、高いビルの屋上で歌を聴くのが大好きだったんだ。あそこからは街全体の景色が見えたんだよ。でも今は、ロドスのブリッジからもっと素敵な景色が見られる。病気になるのも悪いことばっかりじゃないね、ドクター。
	Back in Rim Billiton, I liked to sit on the roof and listen to my music while I watched the whole city go by. Now, I can see even more from the bridge of Rhodes Island. There was a silver lining to me getting sick, huh, Doctor?
	림 빌리턴에서는 높은 빌딩 옥상에서 노래를 듣는 걸 좋아했어. 그곳에서는 마을 전체의 경치를 볼 수 있었지. 그래도 지금은, 로도스 아일랜드 브릿지에서 더 멋진 경치를 볼 수 있어! 병에 걸리는 것도 나쁜 점만 있는 건 아니네, 박사.

	はいよ～。
	Heyo~
	갑니다~

	みんな、ちゃんとついてきてね！
	Come with me, everybody!
	다들, 잘 따라와!

	出発しよ！
	Here we go!
	출발하자!

	イヤホンオッケー、行動開始～。
	Earphones in, let's get started~
	이어폰 챙겼고~ 작전 개시~

	弓の準備はできてるよ～。
	My bow is ready~
	활은 준비 다 됐어~

	ターゲットは誰？
	Who's the target?
	타겟은 누구야?

	視界良好～。
	Nice visibility~
	시야 양호~

	あたしに任せて～。
	Leave it to me~
	나한테 맡겨~

	ノリノリの曲でいくよ～。
	Let's get some fast music going.
	신나는 곡으로 가자~

	このリズムは今にピッタリ！
	Now this is a good rhythm!
	이 리듬이 지금이랑 딱 맞아!

	狙いはバッチリ～。
	I've got a lock on you~
	조준은 확실하게~

	この矢は外れない気がする！
	This one won't miss!
	이 화살은 빗겨가지 않을 것 같아!

	ドクター、ゆったりした曲でも聴いてリラックスしよ？
	Doctor, how would you like to relax with some music?
	박사, 잔잔한 음악이라도 들으면서 좀 쉬자!

	一人も逃さなかったよ～。
	Didn't miss a single one~
	한 명도 놓치지 않았어~

	ドクター、何人か逃げちゃったよ。追いかける？
	Doctor, a few got away, should we chase them?
	박사, 몇 명 도망쳤는데, 쫓아갈까?

	ドクター、あたしが援護するね！
	Doctor, I'll cover you!
	박사, 내가 엄호할게!

	何回周ってみても、ロドスって広いね。
	I've been around Rhodes Island a couple times and I think it's really big.
	몇 번이나 돌아봤지만, 로도스 아일랜드는 진짜 넓구나.

	ええ？
	Huh?
	에에?

	ドクターって執務室にいるはずだよね？
	The Doctor should be in the office, right?
	박사는 집무실에 있겠지?

	アークナイツ。
	Arknights.
	아크나이츠.

	ドクター、音楽でも聴く？
	Doctor, wanna hear some tunes?
	박사, 음악 들을래?

干员档案\Background:
	基础档案 :
	【代号】四月
	【性别】女
	【战斗经验】没有战斗经验
	【出身地】雷姆必拓
	【生日】1月27日
	【种族】卡特斯
	【身高】157cm
	【矿石病感染情况】
	体表有源石结晶分布，参照医学检测报告，确认为感染者。

	基礎情報 :
	【コードネーム】エイプリル 
	【性別】女 
	【戦闘経験】なし 
	【出身地】レム・ビリトン 
	【誕生日】1月27日 
	【種族】コータス 
	【身長】157cm 
	【鉱石病感染状況】 
	体表に源石結晶の分布を確認。メディカルチェックの結果、感染者に認定。

	Basic Info :
	[Code Name] April
	[Gender] Female
	[Combat Experience] None
	[Place of Birth] Rim Billiton
	[Date of Birth] January 27
	[Race] Cautus
	[Height] 157cm
	[Infection Status] 
	Originium crystals are present on the body's surface, confirmed Infected by medical examination.

	기본정보 :
	[코드네임] 에이프릴
	[성별] 여
	[전투 경험] 전투 경험 없음
	[출신지] 림 빌리턴
	[생일] 1월 27일
	[종족] 카우투스
	[신장] 157cm
	[광석병 감염 상황]
	 체표면에 오리지늄 결정 분포, 의학 테스트 보고서 참고 결과, 감염자로 확인.

———————————————————————————————

	综合体检测试 :
	【物理强度】标准
	【战场机动】标准
	【生理耐受】标准
	【战术规划】标准
	【战斗技巧】标准
	【源石技艺适应性】标准

	能力測定 :
	【物理強度】標準 
	【戦場機動】標準 
	【生理的耐性】標準 
	【戦術立案】標準 
	【戦闘技術】標準 
	【アーツ適性】標準

	Physical Exam :
	[Physical Strength] Standard
	[Mobility] Standard
	[Physical Resilience] Standard
	[Tactical Acumen] Standard
	[Combat Skill] Standard
	[Originium Arts Assimilation] Standard

	종합검진 :
	[물리적 강도] 표준
	[전장 기동력] 표준
	[생체 인내도] 표준
	[전술 계획력] 표준
	[전투 기술력] 표준
	[오리지늄 아츠 적응성] 표준

———————————————————————————————

	客观履历 :
	原雷姆必拓猎人，因感染矿石病而失业，辗转加入罗德岛。
	没有接受过专业训练，各项指标平均，由于过往职业原因在狙击方向的培训上展现出较高接受度，现作为狙击干员活跃在各种任务中。

	個人履歴 :
	元レム・ビリトンハンター。鉱石病に罹患したため職を失い、各地を転々とした結果、ロドスに腰を落ち着けた。 
	専門的な訓練を受けたことがないため、各ステータスは平均的である。過去の職業経験からか、狙撃訓練に対して強い学習意欲を示したため、現在は狙撃オペレーターとして様々な任務で活躍している。

	Profile :
	A hunter from Rim Billiton, lost her job due to Oripathy before making her way to Rhodes Island. 
	Has never received formal training. All indicators read average. Her previous occupation suggested an affinity for sniper training, and she currently serves as a Sniper Operator.

	프로필 :
	    원래는 림 빌리턴의 사냥꾼이었으나 광석병에 감염되어 직업을 잃고 이곳저곳을 전전하다 로도스 아일랜드에 합류했다.
	    전문적인 훈련을 받은 적은 없지만 각 방면에서 평균 이상의 지표를 보인다. 과거의 직업 덕에 저격 관련 훈련에서 비교적 훌륭한 솜씨를 보여, 현재는 스나이퍼 오퍼레이터로서 각종 임무에서 활약하고 있다.

———————————————————————————————

	临床诊断分析 :
	造影检测结果显示，该干员体内脏器轮廓模糊，可见异常阴影，循环系统内源石颗粒检测异常，有矿石病感染迹象，现阶段可确认为是矿石病感染者。
	
	【体细胞与源石融合率】5%
	干员背部有少量源石结晶分布。
	
	【血液源石结晶密度】0.17u/L
	根据干员本人描述，在染病后尽可能避开了危险的源石多生环境，但由于干员曾长期生活在较差的环境中，因此病情依然有所蔓延。

	健康診断 :
	造影検査の結果、臓器の輪郭は不明瞭で異常陰影も認められる。循環器系源石顆粒検査の結果においても、同じく鉱石病の兆候が認められる。以上の結果から、鉱石病感染者と判定。
	
	【源石融合率】5% 
	背部に少量の源石結晶の分布が見られる。 
	
	【血液中源石密度】0.17u/L 
	本人の話によると、感染して以来、できる限り源石が多く分布するような危険地帯は避けてきたとのことだが、比較的厳しい環境の中で長期にわたる生活を送ってきたこともあり、ある程度の病状の拡散は免れなかった。

	Clinical Analysis :
	Imaging tests have shown the outlines of her internal organs to be indistinct due to abnormal shadows. Originium granules have been detected in her circulatory system, confirming her to be infected with Oripathy. 
	
	 [Cell-Originium Assimilation] 5%
	Some mild crystallization visible on her back. 
	
	 [Blood Originium-Crystal Density] 0.17u/L
	The Operator reports she avoided dangerous environments with significant Originium exposure risk, but living in such poor conditions for so long ultimately caused her infection to worsen.

	임상 진단 분석 :
	    방사선 검사 결과, 본 오퍼레이터는 내장 기관의 윤곽이 흐릿하며, 비정상적인 음영이 존재하는 것으로 확인됨. 순환계통 내 오리지늄 입자 검사 결과 이상 확인. 광석병 감염 증세 있음. 현 단계로서는 광석병 감염자로 판단됨.
	
	[체세포와 오리지늄 융합률] 5%
	오퍼레이터의 등 부분에 소량의 오리지늄 결정이 분포.
	
	[혈중 오리지늄 결정 밀도] 0.17u/L
	오퍼레이터 본인의 설명에 따르면 감염된 후 오리지늄이 다수 존재하는 위험 지역을 되도록 피해왔으나, 비교적 낙후된 환경에서 장기간 자라온 탓에 여전히 병세가 진행 중이다.

———————————————————————————————

	档案资料一 :
	非常具有都市感的女孩，总是随身携带一个随身听。
	性格相当外向，和谁都能搞好关系。
	对生活品质有相当的追求，也热爱潮流，经常能看到与宴和梓兰相谈甚欢的场景。

	第一資料 :
	シティガールな雰囲気に溢れている少女。常にポータブルミュージックプレイヤーを持ち歩いている。 
	外向的な性格で、誰とでも仲良くできる。 
	QOLへのこだわりが強く、流行りもの好きでもあるため、よくウタゲやオーキッドと楽しく話している姿が目撃されている。

	Archive File 1 :
	She has a real urban feel to her, always going around with her stereo playing.  
	Very extroverted, she gets along with everyone. 
	She is always looking to improve her lot in life, and follows trends closely. She is often seen chatting with Utage and Orchid.

	파일 자료 1 :
	    도시적인 느낌을 물씬 풍기는 소녀, 언제나 음악을 들을 수 있는 기기를 지니고 있다.
	    상당히 외향적인 성격이며 누구와도 좋은 관계를 유지한다.
	    삶의 질에 대한 요구 사항이 꽤 높으며, 유행을 따르는 것을 즐기기에 우타게, 오키드와 함께 즐겁게 대화하는 모습을 자주 볼 수 있다.

———————————————————————————————

	档案资料二 :
	雷姆必拓由于矿业较为发达，国民相较其他国家接触源石的几率要高不少，因此大部分雷姆必拓的公司多少都会有一些对员工不慎成为感染者后的福利措施，以此来让员工能够安心工作。
	但四月的遭遇证明，或许不是每一家公司都这么做，或者我们应该这样说，虽然感染者遭人唾弃，但为了能让员工安心工作，或许大部分公司真的不介意用一些钱来安抚他们，但手下的人未必这么想。
	四月真的是因为公司福利本身就只是一纸空文、还是被小人从中作梗而无法在雷姆必拓生活下去，我们现在已经不得而知，很显然她自己也没有想过去深究。当然，事实上是哪种并没有什么所谓，即使是后者，恐怕四月也很难找到获得原本属于自己的权益的方法，感染者的处境就是如此艰难。

	第二資料 :
	レム・ビリトンは鉱業が発達しており、国民は源石に触れる機会が他国に比べて多い。そのため、レム・ビリトンの企業は一般的に、不運にも従業員が感染者になってしまった場合に備えて、ある程度の保障を設けることで、従業員が安心して働けるように努めている。
	とは言え、エイプリルの経験から見るに、どうやら全ての企業がこの原則にあてはまるわけでもないようだ。あるいはこうも言えるかもしれない。感染者は忌み嫌われているものの、従業員に安心して仕事をしてもらうため、多くの企業は確かにそれなりの金銭を払って彼らに安心感を与えるのもやぶさかではないと考えている。――しかし、実際にそれを実行する下の人間も同じ考えだとは限らない。
	エイプリルがレム・ビリトンに居続けられなくなった本当の理由が、企業が用意していた保障がただの紙くずでしかなかったためか、それとも良からぬ者に謀られたためであるか、今となってはもう知る術はない。エイプリル本人も、その件について追求するつもりはないようだ。いずれにしろ真実がどちらかなんていうのは、あまり明確にする意味もない。仮に後者であったとしても、今のエイプリルでは、それを糾弾し自分が手にするはずだったものを取り戻す手段がないからだ。感染者の立場とはそれほどまでに、弱い。

	Archive File 2 :
	Because of the highly developed mining industry in Rim Billiton, the population is more likely to be exposed to Originium than in other countries. So most Rim Billiton companies have some kind of benefits structure for employees who get infected on the job to encourage them to work without fear. 
	But April's experience shows that not every company does provide such benefits. Or maybe because of a general revulsion for Infected people, the lower level functionaries of these companies may not have an interest in caring for them, no matter what policies the upper management may put in place to keep people working.  
	Whether April was forced out of Rim Billiton because her benefits weren't worth the paper they were printed on, or because a bad actor worked against her, we can't know. And it's clear she hasn't investigated it herself. Of course, it doesn't really matter, in the end. Even if it is the latter, it wouldn't be easy for April to go recover what is owed her, considering the situation of the Infected.

	파일 자료 2 :
	    림 빌리턴은 광업이 비교적 발달한 곳으로, 다른 국가들에 비해 국민들이 오리지늄과 접촉할 확률이 상당히 높다. 따라서 림 빌리턴의 기업들은 실수로 감염된 직원을 위한 복지 정책을 시행하여, 직원들이 안심하고 업무에 매진할 수 있게 해주고 있다.
	 다만 에이프릴의 상황이 증명하듯, 모든 기업들이 이런 복지를 시행하고 있는 것은 아닐지도 모른다. 혹은 대부분의 기업들이 혐오의 대상이 된 감염자 직원들의 마음을 달래주기 위해, 금전적 보상을 해주는 방식도 마다하지 않고 있다 해야 할 것이다. 물론 감염자 직원들 본인이 이에 만족하는지는 알 수 없다.
	 에이프릴이 림 빌리턴에서 살 수 없게 된 이유가 회사의 허울뿐인 복지 정책 때문인지, 아니면 누군가의 방해 때문인지는 현재 우리로서는 알 수 없다. 그리고 그녀 역시 과거에 대해 더 이상 깊이 파고들길 원하지 않는다. 물론, 그 이유가 무엇이었는가가 중요하진 않다. 설사 그 이유가 후자라 하더라도, 에이프릴이 자신의 권리를 되찾을 수 있는 방법을 현재로선 찾기 힘들 만큼 감염자들은 힘든 처지에 놓여있다.

———————————————————————————————

	档案资料三 :
	如果要在罗德岛上举办室内装饰评选大赛——虽然很显然罗德岛并不会举办这样的大赛——那四月应当能够名列前茅。
	罗德岛上的宿舍除了为居住者提供基本生活所需的一切之外，其基础设计十分朴素，而大部分干员也对这方面并没有追求。但罗德岛也并不禁止干员以不对舰体造成破坏为前提进行一些室内改装——事实上，从希望干员能安心生活的角度来说，罗德岛是鼓励干员这么去做的——因此，虽然大部分干员的宿舍都相当朴素，也有一部分干员的宿舍相当具有特色，四月正是其中的佼佼者。
	她的房间被她装饰得十分精致。海报、装饰用的小物件、花盆等等，整体就给人相当有生活感的氛围，而且十分契合她本人的性格，而从她的日常表现来看，她确实相当适应甚至是喜爱在罗德岛上的生活，这点令我们感到喜悦。

	第三資料 :
	もしロドスにインテリアコーディネート大会があるならば――ロドスでそんな大会が開催される日は永遠に来ないだろうが――エイプリルはきっと好成績を残せるだろう。
	ロドスの宿舎は、居住者が基本的な生活を営む上で必要なものは備えているが、部屋の基礎となるデザインは非常にシンプルなものだ。オペレーターの大半は部屋へのこだわりがない。しかし、ロドスは艦体を破壊しない限り、オペレーターが室内を改装することを咎め立てもしない――それどころか、オペレーターが安心して生活できるよう、改装行為を大いに推奨している――ため、一部のオペレーターの部屋はかなり個性的なものになっており、その中でも、エイプリルの部屋は突出している。
	彼女の部屋には、ポスター、小物、植木鉢などが置かれ、綺麗に飾り立てられている。全体的に生活感がある雰囲気となっており、彼女の性格にも合っている。本人の日常における振る舞いからも、ロドスでの生活に慣れ、更には気に入っているように見える。大変喜ばしいことである。

	Archive File 3 :
	If Rhodes Island held an interior decorating competition (we won't), then April would likely take the prize. 
	Rhodes Island dormitories have a very plain design, serving only to provide occupants with a basic standard of living. Most operators have no further interest in design. But the company does not have any regulations against operators making interior modifications, as long as they don't damage the landship. In fact, Rhodes Island encourages them to do just that, in hopes of improving their lives. So while most operators live in very plain surroundings, there are some with a lot of character, and April's are among the best. 
	Her room is exquisitely decorated. Posters, knick knacks, flower pots, and such all give the place a lively atmosphere, well-suited to her personality. We're very glad to see her adapting to and even loving life at Rhodes Island.

	파일 자료 3 :
	    물론 그럴 일은 없겠지만, 만약 로도스 아일랜드에서 ‘인테리어 디자인 대회’가 열린다면, 에이프릴은 분명 그 상위권에 랭크될 수 있을 것이다.
	    로도스 아일랜드의 숙소는 생활에 필요한 기본적인 것들을 모두 제공하긴 하지만, 그 인테리어 디자인은 매우 투박한 편이다. 대부분의 오퍼레이터들이 이런 인테리어 방면에는 별다른 관심이 없기도 하다. 다만 로도스 아일랜드는 선체를 훼손하지 않는다는 전제 조건 하에 실내 개조를 금지하지는 않으며, 직원들이 자신이 원하는 스타일의 공간 속에서 편안히 생활할 수 있길 바라기에, 오히려 실내 개조를 권장하는 입장이라 할 수 있다. 투박한 기본 인테리어를 바꾸지 않고 그래도 사용하는 대부분의 오퍼레이터들에 반해, 일부 오퍼레이터들의 숙소는 굉장히 개성 있는 스타일로 탈바꿈하였는데, 그중에서도 에이프릴의 숙소를 우수사례로 꼽을 수 있다.
	    그녀의 방은 포스터, 장식용 소품, 화분 등이 정교하게 조합되어, 전체적으로 상당히 편안한 분위기를 연출하고 있으며, 이는 그녀 본인의 성격과도 잘 맞아떨어진다. 그녀의 일상을 통해, 그녀가 로도스 아일랜드 생활에 잘 적응하는 것을 넘어서, 이곳에서의 생활을 즐기고 있다는 것을 알 수 있으며, 이 점이 우리를 기쁘게 한다.

———————————————————————————————

	档案资料四 :
	有这样一个误区往往被人忽视，那就是——一个人一旦成为感染者，那他就会帮感染者说话，站在感染者这一边。
	事实很显然不是这样，人对于突如其来的变化总是难以接受的，愿意尝试去接受已经称得上是性格豁达，而不愿意去接受的，尤其是突然感染矿石病这样的剧变，难以接受也不是什么应当被谴责的事。
	并不是每一个人都能坦然接受自己的感染者身份的，每个新加入罗德岛的干员在加入之初都要接受一些关于有关身份认同的心理辅导，以免在工作过程中产生一些不必要的负担和冲突。
	四月这样民间出身的人在这方面尤为值得关注——我们必须要承认的现实是，对感染者的歧视是潜移默化的，有些人即使自己没有恶意，但他们接受的教育和周遭的环境就是不把感染者当作人看，而这样的人即使变成感染者显然也不会将其他感染者视为同伴，这样的观念是十分难以扭转的。
	所幸，四月开朗豁达的性格在这点上起了巨大作用，她虽然也有一些对感染者的天然歧视以及由此带来的自我厌恶，但在心理辅导以及罗德岛的生活环境的影响下，她迅速摆脱了这种想法，并且立刻转而开始思考怎样能够帮助其他同样承受苦难的人。尽管然四月在战斗能力上并不突出，但是她的思考方式是值得所有人去学习的。

	第四資料 :
	世間でよく勘違いされがちなこととして、――ある人間が感染者になったとき、その者は当たり前に感染者の側について、感染者に親しんだ立場でものを言うだろう、という考えがある。
	しかし事実は明らかに異なる。人は往々にして、突如訪れる変化をすぐに受け入れることができない生き物だ。もし即座に変化を受け入れようと試みでもしようものなら、その者は驚くほど柔軟な価値観の持ち主と言えるだろう。特に突如として鉱石病に罹患したというような事態は、たとえこれを受け入れられないとしても、責められるべきことではない。
	誰もが感染者である自分を心を乱さずに受け入れられるわけではない。新たにロドスに加入するオペレーターは全員、仕事中に不要な心理的負担を受けず、トラブルを引き起こさないために、自らのアイデンティティに関する心理カウンセリングを初めに受けなければならない。
	エイプリルのような民間の出身者は特にこの方面で注意を払う必要がある――我々には認めなければならない現実があるからだ。感染者に対する差別意識は潜在的に刷り込まれている。人によってはたとえ本人に悪意の自覚がないとしても、感染者を同じ人間だと認めない環境に置かれ、教育を受けてきたがゆえにそれが当然だと認識している。こういう人間は、たとえ自身が感染者になったとしても、他の感染者を仲間だと見なせない。このような認識の矯正は非常に難しい。
	幸い、エイプリルの大らかな性格はこの点においてプラスに作用した。確かに彼女も、生まれつき感染者に対する差別意識が根付いており、それによる自己嫌悪も見られたが、心理カウンセリング及びロドスの生活環境の影響によって、すぐにそういった意識から脱却することができた。それだけに留まらず、彼女はどうすれば自分と同じ苦しみを持つ者を助けることができるのか考えるようになった。エイプリルは戦闘能力の面で突出しているわけではないが、彼女の考え方は大いに学ぶべきところがあると言えよう。

	Archive File 4 :
	There is a common misconception that once someone becomes Infected, they will then speak for the Infected, and always side with the Infected. 
	The truth is obviously different. Sudden changes are always difficult to accept. One who does try to accept such changes should be commended for her open-mindedness. But we shouldn't condemn someone for failing to accept the drastic, sudden change that is Oripathy infection.  
	Not everyone would openly accept her identity as an Infected person, and every new Rhodes Island operator will receive psychological counseling about that identity to avoid excessive burdens and conflicts over the course of her work. 
	This is of particular concern for operators who come from civilian backgrounds like April, for whom discrimination against the Infected is deeply rooted. We must acknowledge the reality that some people, completely without malice, grow up in an environment that teaches them to dehumanize the Infected. And that these people, even if they become Infected themselves, do not see the Infected as peers. It is difficult to reverse that perception.  
	Luckily, April's cheerful disposition and open-minded personality did her well. While she had some ingrained discrimination against the Infected and some resultant self-loathing, she quickly shed these ideas thanks to our counseling and the general environment of life in Rhodes Island. She immediately began to think about how she could help others who also suffered like her. While she may not be that impressive in combat, April's outlook and thinking are worthy of emulation. 

	파일 자료 4 :
	    많은 사람들은 광석병에 감염된 사람이 감염자들 편에 설 것이라고 생각하지만, 실상은 다르다.
	    사람들은 보통 이와 같은 갑작스러운 변화를 받아들이기 힘들고, 이런 변화를 받아들이기 위해 노력하는 자는 매우 활달한 사고의 소유자라 할 수 있을 것이다. 물론 광석병과 같이 자신의 삶에 극단적인 변화를 가져오는 경우, 이를 쉽게 받아들이지 못한다 하더라도 비난할 수는 없을 것이다.
	    모두가 감염자라는 자신의 신분을 태연히 받아들일 수는 없다. 로도스 아일랜드에 새로이 합류한 오퍼레이터들 역시 초기에는 자신의 현재 상태를 있는 그대로 받아들일 수 있도록 돕는 심리 상담에 참여하여, 업무 도중 발생하는 불필요한 부담과 충돌을 피하고 있다.
